gene	betas
ENSG00000047315	-9.78088616064254
ENSG00000082701	21.5271829089944
ENSG00000100142	1.16794337231821
ENSG00000105568	-8.98706597805701
ENSG00000116711	-70.8831439542466
ENSG00000121879	-18.550495490314
ENSG00000127928	-24.5487206760683
ENSG00000134057	7.60320613165752
ENSG00000134058	25.1999473913397
ENSG00000137275	-49.5562238206715
ENSG00000140992	122.207533653487
ENSG00000161203	20.0578259460633
ENSG00000164742	41.6407228652439
ENSG00000168036	0.840420778323197
ENSG00000169398	-31.8030830938491
ENSG00000182621	-67.8745751739735
ENSG00000182866	5.96056709148807
